A,B,C
24.9816047538945,11.25716742746937,53.0780174649248
48.02857225639664,35.45641645055122,111.56926003084097
39.2797576724562,22.574239243053068,88.44439026962016
33.946339367881464,30.342827646588113,81.62201407896085
16.24074561769746,46.30265895704372,80.73211814790494
16.239780813448107,19.971689165955,52.7061871574951
12.32334448672798,26.415316921425188,43.66075278121888
44.647045830997406,40.22204554172195,112.43097322304281
34.04460046972835,19.1519266196649,71.51503364918784
38.32290311184182,13.079196393151719,81.88313480099636
10.823379771832098,21.590058116550722,49.30009404602574
48.79639408647977,16.448851490160177,92.25026073008924
43.29770563201687,47.18790609370292,117.51376396920925
18.493564427131048,42.32481518257668,73.6641034214404
17.272998688284027,35.33615026041694,68.28871904073205
17.33618039413735,44.85842360750871,81.37497439048275
22.16968971838151,42.14688307596458,75.74510045832957
30.990257265289515,17.462802355441433,66.68694696049998
27.27780074568463,45.70235993959911,83.0310169220786
21.649165607921677,31.573689676626028,63.65364872835615
34.474115788895176,42.2976062065625,95.16375010152225
15.579754426081674,45.84365199693973,71.7503131107575
21.685785941408724,22.720138998874553,62.08824410786283
24.654473731747668,14.40207698110707,62.639288427687276
28.24279936868144,19.117406501677667,67.72313371375382
41.407038455720546,27.08431154505025,101.04567730540761
17.98695128633439,42.72059063689972,69.83361527283158
30.569377536544465,44.429223330253734,104.99829080196778
33.696582754481696,10.278085221247629,71.89567904754568
11.85801650879991,30.42989210310263,47.84515066360056
34.30179407605753,26.69644012595116,77.45538072454167
16.82096494749166,18.88431241882921,52.75125943251679
12.60206371941118,14.794614693347313,39.62147340716537
47.95542149013333,23.504606856145116,104.30682019057654
48.625281322982374,47.71638815650077,123.4772206325419
42.33589392465844,22.928117280830207,91.48219014836745
22.184550766934827,30.751624869734645,63.64415745584794
13.906884560255355,38.12075835580711,53.7826974015994
37.36932106048627,24.54518409517176,83.4575541065317
27.606099749584054,48.87128330883843,94.7881702430642
14.881529393791153,48.497891797684446,72.1910762494853
29.807076404450807,20.071291833014566,64.53895417952792
11.375540844608736,29.88994023569542,51.84116808472535
46.372816083151285,22.035132392670786,99.11391693750774
20.351199264000677,21.393619775098706,53.22240753507432
36.50089137415928,11.475477894181312,74.70034490631161
22.46844304357644,34.382573359195874,71.49976684495135
30.802720847112433,30.10716092915446,74.5749585248391
31.868411173731186,12.059150049999573,69.23887360233785
17.394178221021082,21.14585856946446,55.81187681894437
48.783385110582344,46.33063543866615,125.65484223268282
41.00531293444458,19.582475626678896,92.4429601631845
47.579957662567566,15.795794883648924,87.11822556098504
45.79309401710595,29.57811041110252,97.66300415496534
33.915999152443405,49.42601816442403,102.98998959624764
46.87496940092467,19.682210860460017,98.62715254431606
13.53970008207678,36.885421896235144,62.39312607163353
17.83931449676581,40.4647846131487,88.39445688894129
11.809091556421523,19.50550175969599,46.17249129585491
23.013213230530575,39.12865394447438,81.50057120227837
25.54709158757928,24.711325308770128,72.85970644585103
20.853961270955836,35.29223322374318,72.77168474195729
43.14950036607718,35.34118843043579,101.42085507026268
24.270133067743572,31.43098736299034,75.34483559447396
21.23738038749523,13.611590802176332,48.881217150296045
31.70784332632994,43.41209982356952,91.10735181465049
15.636968998990506,22.83120259886943,49.29359783843579
42.08787923016159,17.46074041599417,87.50978187496933
12.982025747190832,11.631005662190557,50.35113598390623
49.47547746402069,33.63571772752967,101.78546441509604
40.889790771866295,37.1025744736913,104.44804668862506
17.948627261366894,10.663513157114245,37.390172061793486
10.220884684944096,30.48372233197124,47.35864556404597
42.618457138193364,19.059831007917516,94.62030349846088
38.274293753904686,35.806911616377995,96.37837001943674
39.160286721639494,16.97465716019966,76.93143192097244
40.85081386743783,37.63750952409864,97.80970987413582
12.961786069363615,25.469413852021496,53.216198930336
24.338629141770905,47.46919954946938,80.83147019364618
14.634762381005189,15.50083776583973,45.435106732089444
44.52413703502374,23.642654042010342,95.92818798566297
34.93192507310232,14.538940849623563,70.77103855132326
23.235920994105967,46.98774473114251,93.16379772269958
12.542334011440946,45.09357413523924,68.05795543694286
22.439292868626488,20.317665108606224,49.78735845653667
23.007332881069882,36.39936184136716,74.56276036854568
39.18424713352256,42.688888008048636,99.61854878288081
35.502298854208526,32.2080324639785,93.2820409264767
45.48850970305306,31.18602313424026,99.2189793698083
28.888597006477973,19.67409163601807,68.49848661119692
14.783769837532068,13.72411071223597,45.67987972098916
38.5297914889198,45.88863031813307,108.83436745873675
40.4314019446759,46.016722286533216,101.45899871096154
32.45108790277985,35.32405829093072,85.2633723077096
40.83868719818244,23.561191641948028,87.7322575550273
29.75182385457563,23.968382984506434,70.53579600660004
30.909313175279763,39.038227154809576,96.42182268817278
27.101640734341984,45.884410398103086,89.38489797480023
11.016765069763807,45.48345697060469,56.607493409454236
14.315657079732178,41.19502183430495,69.01881282231612
